Anio;Periodo;DatoPoblacionEntre16y64;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2005;Anual;;194;19;El Cañaveral;Vicálvaro
2006;Anual;;194;19;El Cañaveral;Vicálvaro
2007;Anual;;194;19;El Cañaveral;Vicálvaro
2008;Anual;;194;19;El Cañaveral;Vicálvaro
2009;Anual;;194;19;El Cañaveral;Vicálvaro
2010;Anual;;194;19;El Cañaveral;Vicálvaro
2011;Anual;;194;19;El Cañaveral;Vicálvaro
2012;Anual;;194;19;El Cañaveral;Vicálvaro
2013;Anual;;194;19;El Cañaveral;Vicálvaro
2014;Anual;;194;19;El Cañaveral;Vicálvaro
2015;Anual;;194;19;El Cañaveral;Vicálvaro
2016;Anual;;194;19;El Cañaveral;Vicálvaro
2017;Anual;0.0;194;19;El Cañaveral;Vicálvaro
2018;Anual;75.45;194;19;El Cañaveral;Vicálvaro
2019;Anual;72.09;194;19;El Cañaveral;Vicálvaro
2020;Anual;72.39;194;19;El Cañaveral;Vicálvaro
2021;Anual;73.93;194;19;El Cañaveral;Vicálvaro
2022;Anual;74.65;194;19;El Cañaveral;Vicálvaro
2005;Anual;71.66;191;19;Casco histórico de Vicálvaro;Vicálvaro
2006;Anual;71.21;191;19;Casco histórico de Vicálvaro;Vicálvaro
2007;Anual;70.52;191;19;Casco histórico de Vicálvaro;Vicálvaro
2008;Anual;69.99;191;19;Casco histórico de Vicálvaro;Vicálvaro
2009;Anual;69.32;191;19;Casco histórico de Vicálvaro;Vicálvaro
2010;Anual;68.86;191;19;Casco histórico de Vicálvaro;Vicálvaro
2011;Anual;68.31;191;19;Casco histórico de Vicálvaro;Vicálvaro
2012;Anual;67.67;191;19;Casco histórico de Vicálvaro;Vicálvaro
2013;Anual;67.27;191;19;Casco histórico de Vicálvaro;Vicálvaro
2014;Anual;66.93;191;19;Casco histórico de Vicálvaro;Vicálvaro
2015;Anual;66.85;191;19;Casco histórico de Vicálvaro;Vicálvaro
2016;Anual;66.98;191;19;Casco histórico de Vicálvaro;Vicálvaro
2017;Anual;67.42;191;19;Casco histórico de Vicálvaro;Vicálvaro
2018;Anual;62.94;191;19;Casco histórico de Vicálvaro;Vicálvaro
2019;Anual;63.6;191;19;Casco histórico de Vicálvaro;Vicálvaro
2020;Anual;64.31;191;19;Casco histórico de Vicálvaro;Vicálvaro
2021;Anual;64.79;191;19;Casco histórico de Vicálvaro;Vicálvaro
2022;Anual;65.13;191;19;Casco histórico de Vicálvaro;Vicálvaro
2005;Anual;61.26;81;8;El Pardo;Fuencarral - El Pardo
2006;Anual;61.0;81;8;El Pardo;Fuencarral - El Pardo
2007;Anual;60.19;81;8;El Pardo;Fuencarral - El Pardo
2008;Anual;59.67;81;8;El Pardo;Fuencarral - El Pardo
2009;Anual;60.28;81;8;El Pardo;Fuencarral - El Pardo
2010;Anual;60.67;81;8;El Pardo;Fuencarral - El Pardo
2011;Anual;59.86;81;8;El Pardo;Fuencarral - El Pardo
2012;Anual;60.33;81;8;El Pardo;Fuencarral - El Pardo
2013;Anual;60.71;81;8;El Pardo;Fuencarral - El Pardo
2014;Anual;61.32;81;8;El Pardo;Fuencarral - El Pardo
2015;Anual;61.54;81;8;El Pardo;Fuencarral - El Pardo
2016;Anual;62.01;81;8;El Pardo;Fuencarral - El Pardo
2017;Anual;61.96;81;8;El Pardo;Fuencarral - El Pardo
2018;Anual;61.98;81;8;El Pardo;Fuencarral - El Pardo
2019;Anual;62.51;81;8;El Pardo;Fuencarral - El Pardo
2020;Anual;62.7;81;8;El Pardo;Fuencarral - El Pardo
2021;Anual;63.26;81;8;El Pardo;Fuencarral - El Pardo
2022;Anual;63.04;81;8;El Pardo;Fuencarral - El Pardo
2005;Anual;34.16;88;8;El Goloso;Fuencarral - El Pardo
2006;Anual;48.54;88;8;El Goloso;Fuencarral - El Pardo
2007;Anual;57.01;88;8;El Goloso;Fuencarral - El Pardo
2008;Anual;60.46;88;8;El Goloso;Fuencarral - El Pardo
2009;Anual;60.88;88;8;El Goloso;Fuencarral - El Pardo
2010;Anual;60.93;88;8;El Goloso;Fuencarral - El Pardo
2011;Anual;60.76;88;8;El Goloso;Fuencarral - El Pardo
2012;Anual;60.06;88;8;El Goloso;Fuencarral - El Pardo
2013;Anual;59.52;88;8;El Goloso;Fuencarral - El Pardo
2014;Anual;58.88;88;8;El Goloso;Fuencarral - El Pardo
2015;Anual;58.39;88;8;El Goloso;Fuencarral - El Pardo
2016;Anual;58.14;88;8;El Goloso;Fuencarral - El Pardo
2017;Anual;58.21;88;8;El Goloso;Fuencarral - El Pardo
2018;Anual;58.53;88;8;El Goloso;Fuencarral - El Pardo
2019;Anual;58.8;88;8;El Goloso;Fuencarral - El Pardo
2020;Anual;60.06;88;8;El Goloso;Fuencarral - El Pardo
2021;Anual;61.39;88;8;El Goloso;Fuencarral - El Pardo
2022;Anual;61.82;88;8;El Goloso;Fuencarral - El Pardo
2005;Anual;64.78;86;8;Valverde;Fuencarral - El Pardo
2006;Anual;65.46;86;8;Valverde;Fuencarral - El Pardo
2007;Anual;65.92;86;8;Valverde;Fuencarral - El Pardo
2008;Anual;66.43;86;8;Valverde;Fuencarral - El Pardo
2009;Anual;66.55;86;8;Valverde;Fuencarral - El Pardo
2010;Anual;66.21;86;8;Valverde;Fuencarral - El Pardo
2011;Anual;65.99;86;8;Valverde;Fuencarral - El Pardo
2012;Anual;65.4;86;8;Valverde;Fuencarral - El Pardo
2013;Anual;64.64;86;8;Valverde;Fuencarral - El Pardo
2014;Anual;64.24;86;8;Valverde;Fuencarral - El Pardo
2015;Anual;63.86;86;8;Valverde;Fuencarral - El Pardo
2016;Anual;63.73;86;8;Valverde;Fuencarral - El Pardo
2017;Anual;63.62;86;8;Valverde;Fuencarral - El Pardo
2018;Anual;63.86;86;8;Valverde;Fuencarral - El Pardo
2019;Anual;64.15;86;8;Valverde;Fuencarral - El Pardo
2020;Anual;64.6;86;8;Valverde;Fuencarral - El Pardo
2021;Anual;64.92;86;8;Valverde;Fuencarral - El Pardo
2022;Anual;65.35;86;8;Valverde;Fuencarral - El Pardo
2005;Anual;69.98;87;8;Mirasierra;Fuencarral - El Pardo
2006;Anual;69.7;87;8;Mirasierra;Fuencarral - El Pardo
2007;Anual;68.74;87;8;Mirasierra;Fuencarral - El Pardo
2008;Anual;68.39;87;8;Mirasierra;Fuencarral - El Pardo
2009;Anual;67.86;87;8;Mirasierra;Fuencarral - El Pardo
2010;Anual;67.22;87;8;Mirasierra;Fuencarral - El Pardo
2011;Anual;66.66;87;8;Mirasierra;Fuencarral - El Pardo
2012;Anual;66.22;87;8;Mirasierra;Fuencarral - El Pardo
2013;Anual;65.83;87;8;Mirasierra;Fuencarral - El Pardo
2014;Anual;65.18;87;8;Mirasierra;Fuencarral - El Pardo
2015;Anual;64.7;87;8;Mirasierra;Fuencarral - El Pardo
2016;Anual;64.23;87;8;Mirasierra;Fuencarral - El Pardo
2017;Anual;64.05;87;8;Mirasierra;Fuencarral - El Pardo
2018;Anual;64.02;87;8;Mirasierra;Fuencarral - El Pardo
2019;Anual;63.76;87;8;Mirasierra;Fuencarral - El Pardo
2020;Anual;63.39;87;8;Mirasierra;Fuencarral - El Pardo
2021;Anual;62.91;87;8;Mirasierra;Fuencarral - El Pardo
2022;Anual;62.45;87;8;Mirasierra;Fuencarral - El Pardo
2005;Anual;70.54;166;16;Valdefuentes;Hortaleza
2006;Anual;70.8;166;16;Valdefuentes;Hortaleza
2007;Anual;70.25;166;16;Valdefuentes;Hortaleza
2008;Anual;69.96;166;16;Valdefuentes;Hortaleza
2009;Anual;69.51;166;16;Valdefuentes;Hortaleza
2010;Anual;69.04;166;16;Valdefuentes;Hortaleza
2011;Anual;67.88;166;16;Valdefuentes;Hortaleza
2012;Anual;67.17;166;16;Valdefuentes;Hortaleza
2013;Anual;66.5;166;16;Valdefuentes;Hortaleza
2014;Anual;66.02;166;16;Valdefuentes;Hortaleza
2015;Anual;66.07;166;16;Valdefuentes;Hortaleza
2016;Anual;65.99;166;16;Valdefuentes;Hortaleza
2017;Anual;65.69;166;16;Valdefuentes;Hortaleza
2018;Anual;65.5;166;16;Valdefuentes;Hortaleza
2019;Anual;65.38;166;16;Valdefuentes;Hortaleza
2020;Anual;65.61;166;16;Valdefuentes;Hortaleza
2021;Anual;65.64;166;16;Valdefuentes;Hortaleza
2022;Anual;65.8;166;16;Valdefuentes;Hortaleza
2005;Anual;69.68;212;21;Aeropuerto;Barajas
2006;Anual;69.48;212;21;Aeropuerto;Barajas
2007;Anual;68.92;212;21;Aeropuerto;Barajas
2008;Anual;70.0;212;21;Aeropuerto;Barajas
2009;Anual;71.24;212;21;Aeropuerto;Barajas
2010;Anual;71.18;212;21;Aeropuerto;Barajas
2011;Anual;70.39;212;21;Aeropuerto;Barajas
2012;Anual;69.73;212;21;Aeropuerto;Barajas
2013;Anual;68.89;212;21;Aeropuerto;Barajas
2014;Anual;68.39;212;21;Aeropuerto;Barajas
2015;Anual;68.83;212;21;Aeropuerto;Barajas
2016;Anual;69.72;212;21;Aeropuerto;Barajas
2017;Anual;69.79;212;21;Aeropuerto;Barajas
2018;Anual;69.45;212;21;Aeropuerto;Barajas
2019;Anual;69.15;212;21;Aeropuerto;Barajas
2020;Anual;70.26;212;21;Aeropuerto;Barajas
2021;Anual;69.81;212;21;Aeropuerto;Barajas
2022;Anual;69.34;212;21;Aeropuerto;Barajas
2005;Anual;70.02;214;21;Timón;Barajas
2006;Anual;69.49;214;21;Timón;Barajas
2007;Anual;69.17;214;21;Timón;Barajas
2008;Anual;69.25;214;21;Timón;Barajas
2009;Anual;69.27;214;21;Timón;Barajas
2010;Anual;69.82;214;21;Timón;Barajas
2011;Anual;69.95;214;21;Timón;Barajas
2012;Anual;70.3;214;21;Timón;Barajas
2013;Anual;70.72;214;21;Timón;Barajas
2014;Anual;70.72;214;21;Timón;Barajas
2015;Anual;70.43;214;21;Timón;Barajas
2016;Anual;69.99;214;21;Timón;Barajas
2017;Anual;69.4;214;21;Timón;Barajas
2018;Anual;68.94;214;21;Timón;Barajas
2019;Anual;68.82;214;21;Timón;Barajas
2020;Anual;68.63;214;21;Timón;Barajas
2021;Anual;68.82;214;21;Timón;Barajas
2022;Anual;69.26;214;21;Timón;Barajas
2005;Anual;67.24;82;8;Fuentelarreina;Fuencarral - El Pardo
2006;Anual;66.65;82;8;Fuentelarreina;Fuencarral - El Pardo
2007;Anual;65.02;82;8;Fuentelarreina;Fuencarral - El Pardo
2008;Anual;64.2;82;8;Fuentelarreina;Fuencarral - El Pardo
2009;Anual;63.14;82;8;Fuentelarreina;Fuencarral - El Pardo
2010;Anual;61.43;82;8;Fuentelarreina;Fuencarral - El Pardo
2011;Anual;60.37;82;8;Fuentelarreina;Fuencarral - El Pardo
2012;Anual;59.1;82;8;Fuentelarreina;Fuencarral - El Pardo
2013;Anual;58.47;82;8;Fuentelarreina;Fuencarral - El Pardo
2014;Anual;57.83;82;8;Fuentelarreina;Fuencarral - El Pardo
2015;Anual;57.91;82;8;Fuentelarreina;Fuencarral - El Pardo
2016;Anual;57.82;82;8;Fuentelarreina;Fuencarral - El Pardo
2017;Anual;57.95;82;8;Fuentelarreina;Fuencarral - El Pardo
2018;Anual;57.2;82;8;Fuentelarreina;Fuencarral - El Pardo
2019;Anual;56.6;82;8;Fuentelarreina;Fuencarral - El Pardo
2020;Anual;56.74;82;8;Fuentelarreina;Fuencarral - El Pardo
2021;Anual;56.97;82;8;Fuentelarreina;Fuencarral - El Pardo
2022;Anual;56.37;82;8;Fuentelarreina;Fuencarral - El Pardo
2005;Anual;75.78;85;8;La Paz;Fuencarral - El Pardo
2006;Anual;75.04;85;8;La Paz;Fuencarral - El Pardo
2007;Anual;74.67;85;8;La Paz;Fuencarral - El Pardo
2008;Anual;74.06;85;8;La Paz;Fuencarral - El Pardo
2009;Anual;73.21;85;8;La Paz;Fuencarral - El Pardo
2010;Anual;71.87;85;8;La Paz;Fuencarral - El Pardo
2011;Anual;70.3;85;8;La Paz;Fuencarral - El Pardo
2012;Anual;68.64;85;8;La Paz;Fuencarral - El Pardo
2013;Anual;66.76;85;8;La Paz;Fuencarral - El Pardo
2014;Anual;64.91;85;8;La Paz;Fuencarral - El Pardo
2015;Anual;63.04;85;8;La Paz;Fuencarral - El Pardo
2016;Anual;61.29;85;8;La Paz;Fuencarral - El Pardo
2017;Anual;59.7;85;8;La Paz;Fuencarral - El Pardo
2018;Anual;58.37;85;8;La Paz;Fuencarral - El Pardo
2019;Anual;57.0;85;8;La Paz;Fuencarral - El Pardo
2020;Anual;55.68;85;8;La Paz;Fuencarral - El Pardo
2021;Anual;54.4;85;8;La Paz;Fuencarral - El Pardo
2022;Anual;53.03;85;8;La Paz;Fuencarral - El Pardo
2005;Anual;71.86;83;8;Peñagrande;Fuencarral - El Pardo
2006;Anual;71.26;83;8;Peñagrande;Fuencarral - El Pardo
2007;Anual;70.86;83;8;Peñagrande;Fuencarral - El Pardo
2008;Anual;70.59;83;8;Peñagrande;Fuencarral - El Pardo
2009;Anual;70.11;83;8;Peñagrande;Fuencarral - El Pardo
2010;Anual;69.25;83;8;Peñagrande;Fuencarral - El Pardo
2011;Anual;68.32;83;8;Peñagrande;Fuencarral - El Pardo
2012;Anual;67.4;83;8;Peñagrande;Fuencarral - El Pardo
2013;Anual;66.36;83;8;Peñagrande;Fuencarral - El Pardo
2014;Anual;65.2;83;8;Peñagrande;Fuencarral - El Pardo
2015;Anual;63.95;83;8;Peñagrande;Fuencarral - El Pardo
2016;Anual;63.04;83;8;Peñagrande;Fuencarral - El Pardo
