Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;11,9 €/m2;- 0,2 %;+ 0,2 %;+ 10,4 %
Enero 2023;11,9 €/m2;- 0,9 %;+ 0,7 %;+ 9,6 %
Diciembre 2022;12,0 €/m2;+ 1,3 %;+ 2,7 %;+ 10,7 %
Noviembre 2022;11,9 €/m2;+ 0,3 %;+ 3,9 %;+ 9,3 %
Octubre 2022;11,8 €/m2;+ 1,1 %;+ 5,2 %;+ 11,4 %
Septiembre 2022;11,7 €/m2;+ 2,5 %;+ 4,1 %;+ 10,1 %
Agosto 2022;11,4 €/m2;+ 1,5 %;+ 2,8 %;+ 9,2 %
Julio 2022;11,2 €/m2;0,0 %;+ 2,3 %;+ 7,6 %
Junio 2022;11,2 €/m2;+ 1,2 %;+ 4,3 %;+ 6,8 %
Mayo 2022;11,1 €/m2;+ 1,0 %;+ 3,1 %;+ 5,6 %
Abril 2022;11,0 €/m2;+ 2,0 %;+ 1,1 %;+ 5,1 %
Marzo 2022;10,8 €/m2;+ 0,1 %;- 0,7 %;+ 4,2 %
Febrero 2022;10,8 €/m2;- 1,0 %;- 0,8 %;+ 4,3 %
Enero 2022;10,9 €/m2;+ 0,2 %;+ 2,4 %;+ 3,9 %
Diciembre 2021;10,9 €/m2;0,0 %;+ 2,1 %;+ 2,2 %
Noviembre 2021;10,9 €/m2;+ 2,2 %;+ 3,8 %;+ 0,7 %
Octubre 2021;10,6 €/m2;- 0,1 %;+ 1,6 %;- 1,5 %
Septiembre 2021;10,6 €/m2;+ 1,6 %;+ 0,9 %;- 1,7 %
Agosto 2021;10,5 €/m2;+ 0,1 %;- 0,6 %;- 3,3 %
Julio 2021;10,4 €/m2;- 0,7 %;- 0,1 %;- 5,5 %
Junio 2021;10,5 €/m2;+ 0,1 %;+ 1,8 %;- 8,1 %
Mayo 2021;10,5 €/m2;+ 0,5 %;+ 1,8 %;- 9,5 %
Abril 2021;10,5 €/m2;+ 1,1 %;0,0 %;- 6,1 %
Marzo 2021;10,3 €/m2;+ 0,2 %;- 2,5 %;- 5,2 %
Febrero 2021;10,3 €/m2;- 1,3 %;- 4,2 %;- 4,7 %
Enero 2021;10,5 €/m2;- 1,5 %;- 3,0 %;- 2,4 %
Diciembre 2020;10,6 €/m2;- 1,5 %;- 1,8 %;- 0,9 %
Noviembre 2020;10,8 €/m2;- 0,1 %;- 0,3 %;- 1,9 %
Octubre 2020;10,8 €/m2;- 0,2 %;- 2,5 %;- 2,9 %
Septiembre 2020;10,8 €/m2;0,0 %;- 5,7 %;- 6,6 %
Agosto 2020;10,8 €/m2;- 2,2 %;- 7,0 %;- 6,8 %
Julio 2020;11,1 €/m2;- 3,5 %;- 0,8 %;- 8,2 %
Junio 2020;11,5 €/m2;- 1,4 %;+ 5,0 %;+ 5,8 %
Mayo 2020;11,6 €/m2;+ 4,3 %;+ 7,3 %;+ 14,7 %
Abril 2020;11,1 €/m2;+ 2,1 %;+ 4,0 %;+ 8,3 %
Marzo 2020;10,9 €/m2;+ 0,8 %;+ 1,9 %;+ 11,0 %
Febrero 2020;10,8 €/m2;+ 1,1 %;- 1,4 %;+ 11,3 %
Enero 2020;10,7 €/m2;0,0 %;- 3,5 %;+ 6,9 %
Diciembre 2019;10,7 €/m2;- 2,5 %;- 7,5 %;+ 3,9 %
Noviembre 2019;11,0 €/m2;- 1,1 %;- 5,2 %;+ 10,1 %
Octubre 2019;11,1 €/m2;- 4,1 %;- 7,8 %;+ 12,5 %
Septiembre 2019;11,6 €/m2;- 0,1 %;+ 6,9 %;+ 15,8 %
Agosto 2019;11,6 €/m2;- 3,8 %;+ 14,4 %;+ 15,9 %
Julio 2019;12,0 €/m2;+ 11,3 %;+ 17,1 %;+ 20,5 %
Junio 2019;10,8 €/m2;+ 6,8 %;+ 10,0 %;+ 11,0 %
Mayo 2019;10,1 €/m2;- 1,5 %;+ 4,2 %;+ 5,4 %
Abril 2019;10,3 €/m2;+ 4,6 %;+ 2,7 %;+ 9,1 %
Marzo 2019;9,8 €/m2;+ 1,1 %;- 4,6 %;+ 4,3 %
Febrero 2019;9,7 €/m2;- 2,9 %;- 2,5 %;+ 3,8 %
Enero 2019;10,0 €/m2;- 2,8 %;+ 1,5 %;+ 8,6 %
Diciembre 2018;10,3 €/m2;+ 3,3 %;+ 3,1 %;+ 12,4 %
Noviembre 2018;10,0 €/m2;+ 1,1 %;- 0,2 %;+ 11,4 %
Octubre 2018;9,9 €/m2;- 1,3 %;- 1,3 %;+ 10,7 %
Septiembre 2018;10,0 €/m2;0,0 %;+ 2,6 %;+ 14,0 %
Agosto 2018;10,0 €/m2;0,0 %;+ 4,0 %;+ 17,3 %
Julio 2018;10,0 €/m2;+ 2,6 %;+ 6,0 %;+ 18,6 %
Junio 2018;9,8 €/m2;+ 1,4 %;+ 3,4 %;+ 15,0 %
Mayo 2018;9,6 €/m2;+ 1,9 %;+ 2,6 %;+ 13,4 %
Abril 2018;9,4 €/m2;0,0 %;+ 2,2 %;+ 11,1 %
Marzo 2018;9,4 €/m2;+ 0,6 %;+ 2,9 %;+ 11,5 %
Febrero 2018;9,4 €/m2;+ 1,5 %;+ 4,6 %;+ 10,7 %
Enero 2018;9,2 €/m2;+ 0,7 %;+ 3,5 %;+ 8,3 %
Diciembre 2017;9,2 €/m2;+ 2,3 %;+ 4,5 %;+ 7,9 %
Noviembre 2017;9,0 €/m2;+ 0,5 %;+ 5,1 %;+ 9,0 %
Octubre 2017;8,9 €/m2;+ 1,7 %;+ 5,8 %;+ 8,0 %
Septiembre 2017;8,8 €/m2;+ 2,9 %;+ 3,4 %;+ 6,9 %
Agosto 2017;8,5 €/m2;+ 1,2 %;+ 0,6 %;+ 8,5 %
Julio 2017;8,4 €/m2;- 0,6 %;- 0,7 %;+ 8,1 %
